betriebstag;linie_railml;zugnummer;bhf;planzeit_an;planzeit_ab;ibnr;bhflang;x_koord;y_koord;betriebstag_vorher;linie_railml_vorher;zugnummer_vorher;bhf_vorher;planzeit_an_vorher;planzeit_ab_vorher;ibnr_vorher;bhflang_vorher;x_koord_vorher;y_koord_vorher;fahrtzeit_ersatzbus;Linienverlauf
2023-01-24;RE 3;29513.0;SKR;11:02:00;11:03:00;8003295.0;Kirn;7.46484;49.78672;2023-01-24;RE 3;29513.0;SIDO;10:52:00;10:52:00;8003040.0;Idar-Oberstein;7.32193;49.70014;0 days 00:22:00;y`jnHgauk@F?b@Ic@sD]cBoEZKiCWqB]gBYcA_@cAYk@e@u@c@m@y@u@c@[aDyAiA{@c@m@c@gAKa@MgAAkADiCHyBLsBXwB\mBXeAv@wB`BiDb@eAf@yAh@_CNu@PwAFq@JuCBcBCcAM{B]wC}@kEoAuFUgBeAsLUoBi@qEo@sDu@_De@aBi@}Am@yAq@uAs@qAu@mAy@eAg@m@uAsAwAiAm@_@{C}Au@e@s@m@wGsHqAkBeA{BiAwCgBeFi@_B[aBWwBiA}PU}BQmAm@{Cq@}Bq@sB}Tum@}CaJq@{BeAoEs@sE}AcOa@iD_@}Ba@uBi@qBk@aBc@eAi@aAq@gAaBsBoBmB_NsKeWcTqFkF}GwF}AaBa@e@}@yA_AiB_@y@u@{Ba@wA}K}f@a@uCIkAEuA?{BPuHCcBEy@M{A_@{B_@uAWw@k@iAm@}@g@m@m@k@i@a@_Ac@gAYw@Ew@@o@FeAV}Al@q@PwANmACwA[oAm@gQuJk@a@eBgBy@eA_AiBw@aBs@qBc@uAWiAY_B_@wCQ}CE_CA}ADqB^mLBsAOsDKgASqAYqAg@wAm@uAm@cAcAkAgIqGmGkFsAaBiAoB_AoBoAmDmAcEgBqFm@wAy@gBkAsBwFqH_AaAaBoAaAo@iAi@qAc@uFyAcBg@aAa@{A{@aA}@e@k@s@iAgAqBwLwTgBuCiB_Cs@y@s@i@}ByA{Ak@iEeA}DgA_DkAgDwB_BsAaCaC_BoBsB_DmDsG_B_DDl@EZONUFYc@Qc@i@sBcAgCG[SGw@y@k@c@kAo@s@U_ASqGaAaB[aEi@qD_@uAYuAe@kOwGc@e@Ya@iBuD_@oAKKM@gBx@OPMf@ARTdBHdAGP@TFNHFLADEFQ@KN_@DY?_Ao@}DkCsOa@cAaAmAYe@Oa@Q{@KgAOs@{D}N_@R
2023-01-24;RE 3;29513.0;SSOB;11:11:00;11:12:00;8005583.0;Bad Sobernheim;7.64906;49.78363;2023-01-24;RE 3;29513.0;SKR;11:02:00;11:03:00;8003295.0;Kirn;7.46484;49.78672;0 days 00:20:00;_~znHm~pl@^SW}AWsBeBuNS_CaBmM]qDq@gJcAgQ[gDoGsk@IqAIwDQy@Si@s@uAy@mAk@s@iT_Ui@o@]k@cA{BwA_Ey@kCm@eCUkBIqAEgACuCHmJ@iSCcBMoAEiA?YFo@Tw@NcADcAAeACg@Ge@yDqTSy@i@oBq@gB[o@{@{A_@i@{@cA_BuA_GmD_Aq@w@u@{@cAy@gA{A}BaByCiA}Bs@gBo@_C[wAYcBQ{AqAaLs@gE_BaJg@_CGw@Mo@UcA@IAUGME]CcAUqBOaDK_GBaCJqE^eJJgBLqATwAhFuW|AeGlA}Df@uBX_CzBoSPiBHcB\_]@_EAcDIoEYcF}@sLMyDAgA@cCVgIP{D\uDr@qE\aB`@{A`@qAfAuCt@cBbBkE\aA^{AVeBLgALgDDcJL}CPoBPmATkAZuApCsKxKic@`AcFpFwZfBuIp@_Ep@gE|DyTpAoI~@gHbAaJvB}Uj@uEd@gCl@mCdE}NVyAZyBRwBXgFBcDIoSAeDH}BTqDTgCt@wJZ{GPeGp@wd@HqINc[XmBNm@Rg@n@eANc@Dc@@[Cg@a@eIFEJU@YCMKSGCO?C{CBmAV_GnAaTFe@nBkHrAqFHE?KEEf@yALULSjAkAh@[~BIRIRUnB}E
2023-01-24;RE 3;29513.0;SSTH;11:15:00;11:15:00;8005678.0;Staudernheim;7.69397;49.78128;2023-01-24;RE 3;29513.0;SSOB;11:11:00;11:12:00;8005583.0;Bad Sobernheim;7.64906;49.78363;0 days 00:06:00;skznHw~tm@~CyHJ[Fe@VeG@oAIyCMuAUaAFK?YGIKAWkAy@mAUSk@_@}@O_Bb@q@AKICWAM@SGQBc@OqBCo@Be@Hg@LUx@{@RWPs@Fg@z@sPdAgJDw@DeFFeC^cGp@_N@_BCkAUaE?yAFqAj@kGT_A\m@~AcAX[^aAXgAHi@RqFr@sMFuDEmHDeBH{AjBeRn@iFT_A~AmETuAHy@BcASmDMwAe@wC@[D[gBoABo@s@gJg@cE_@L
2023-01-24;RE 3;29513.0;SBMS;11:27:00;11:28:00;8000726.0;Bad Münster am Stein;7.84649;49.81396;2023-01-24;RE 3;29513.0;SSTH;11:15:00;11:15:00;8005678.0;Staudernheim;7.69397;49.78128;0 days 00:26:00;a|ynHwv}m@^MqAcK]aBUq@}HmNa@}@[}@sHuZg@yBGm@Cm@EiOMsAUw@Qa@Y_@WSuXkOeFwCy@i@iA{@qAiAcBaBiEoFYWu@c@u@U{@I{CL{@Mq@Ye@[a@_@kA_BqQcYg@q@]a@gGeEoEuFkAgCi@_BFSFa@n@sFb@kCj@_CZiDFu@@k@C[Ga@Oi@uBwG]iAYuAeAeGwAgIW_CQuBiA{QSwAg@}AUi@{@iA_C_Cc@s@y@}Ai@g@iAs@_@_@w@eA{EkFQ?a@r@_@z@IDIBKC}@[[O_CwCcAcAuGsCoAoAqAwB_BeFWgAc@}C{@cJYqCg@}HMkAWoAUu@]w@c@m@[[eAk@s@OoCMMEQQn@uBlAkFVqAb@gDVyC\gSAi@IeA{@wJM_Ca@aKGkC@eBb@mJ@yCG}Ie@wJIaDGsFGaAaBeRYoBUsAs@wCeBqFKk@q@}JWmHKaAw@_Eq@iCuAiHcBoHk@wCYaCYgBeBaJeAsEs@mDBEBOAQEGMA{BmJe@{A{@_Ck@kFOaAi@qBiIeRWgA]}@a@eBmAiGq@_CWm@m@iAsAqBcAqBOa@_@}AOqAC{@DmAF[JUlATx@A`AU~CeBd@S`AUbDKbAInJ_Dv@Ir@@xAXz@Db@EnEiApDoAn@Qb@@\JVNdAdAVLZFr@Dp@AxDOd@@vAZZBb@EtAe@fFyB?JFPLDLGFQ?K^HjGdELRVj@Nf@f@hCJTZRb@@dDyAvAq@Cu@q@wCcBiFq@iB_A}BCWB{@JmAT{@`@u@Fg@@_@EU}DqHa@k@mEkE}CcDiA_AiAoAyFiEeBuA{CeDs@YKM[y@[sBYyBi@{I?aBBk@LeBl@gGR{A^uBb@kB|@{Cf@uAxEiKbEiK`@s@v@kAvBoCt@w@\U^QjAYNILSJe@DyADWlDuHv@aCHa@m@WoAu@e@c@uBeCg@w@y@yAyAiDi@gAyJiOUUMEA[KUGEQ?ONCLANFZg@f@U`AhArAjAbBNv@JzA`D]HDR?c@mA
2023-01-24;RE 3;29513.0;SBKN;11:32:00;11:33:00;8000021.0;Bad Kreuznach;7.86803;49.8438;2023-01-24;RE 3;29513.0;SBMS;11:27:00;11:28:00;8000726.0;Bad Münster am Stein;7.84649;49.81396;0 days 00:12:00;yg`oHap{n@Rf@GHETaD\K{AOw@kAcBiAsATaAf@g@JLNBNKHWA[KUGEQ?ONCLOEmCB_AQmAe@mAo@SQ]_AOm@SiB]yEMm@Yu@[_@OKkA]kCa@u@CsJn@y@LqAr@mBpAkOrKk@h@wB`Dm@n@_@V]HkF~@uCn@kBTW?SEMOGSA]HgECi@EUMUc@UaAAYEm@Wy@u@iGiGoEwEwEiEeA}@_@U_@IqAEmDDk@GyDeBi@_@WWc@u@eBwDwCyIs@gBk@iAiD_GkEwG}HuOPe@^}AIW]SU?UI]SSUQc@k@wBo@sB]m@QIM@cBr@}AZWAYHMNITEC?_@N]fBWlAi@lAcAdAwAdA{B
2023-01-24;RE 3;29513.0;FIL;11:47:00;11:47:00;8003075.0;Ingelheim;8.05219;49.97664;2023-01-24;RE 3;29513.0;SBKN;11:32:00;11:33:00;8000021.0;Bad Kreuznach;7.86803;49.8438;0 days 00:35:00;y`foHus_o@kAdC_AlAmAbAmAh@gBVuN`Dc@RGJGEM@GFCR{@Cg@B}IrB{C?s@JI@IHCPi@a@kGaHmDkEkBuB]Yc@QoDw@u@Ye@c@]a@m@cAeA_Cy@wB_BaGa@cAYk@iAeB{AoBuAeAc@Yk@k@e@y@M_@i@eC_@}A_FiNYcA]_B}BiNS_AWq@a@m@gA_A[]]o@Sk@Os@Au@VoCPAFGFWC[EIOIIs@Ok@Yc@YU]I]@sElBc@?WKWUS_@Qa@FS@WGQEGOCMJ}@sBe@{@m_@cf@BK@[IWQIOHEJ{PaTkDqEw@s@c@QaR_C}VuCuAWyAE}AJiIxAa@@e@Ea@MoJuFTeCRmBJqADkA@_FH}@Li@x@mBNk@ReADgAAmASuAMe@Sg@qAcCa@k@q@w@{JiI}JaIyBwBDO?SIUIGK?MJg@w@gAoB}@sB]gAu@oCmAgFqDuNKo@KoAEuA@e@CqACwAc@IqAk@}@m@gAaAy@cAg@{@{@gBYw@eAeDm@_C]}A_A_FeAwGg@iCq@yC}BcJWw@a@o@D]Ga@a@k@Sq@Qa@Yg@{H_IsNuNmJuJq@e@q@c@w@Ys@Q{@IyA@wAVUHu@`@ISOK@]JeANaAD}@A_AG{@Oq@Qq@Wg@]c@_jBekBu@{@o@{@DW?MGUOMI@GBKRqAeAye@af@yYyYk@o@DM?QCMIKIAE@KLkCgCgDmD_BiBiBeBc@eAeCqHw@eCkCmH{AiDi@cAoEoHoAiBm]si@a@u@iA_D]sAiAwFwG}\}R_bAsLgm@}@yEUy@MYa@a@[Ki@CYDkAZ_A^{@RaALm@?s@Km@Su@e@{@_AyBmDkEyHeAyAc@e@sAeAmAs@qZmNmImD}BiAa@_@_DaBmHeDgBi@aIeD[E}Bw@S@_QqFq@WyAy@m@e@iAkAe@o@iAwBqA{Co@uBg@uBUuBSs@Y}DO_Ge@wKSsCe@kDiCmNDGBKAWMMK@u@eDsFiSeC}I]cBKsAAsBFaAh@oC\iAp@aBpAyCl@eAt@_A~CuDn@k@l@_@f@ShMmDFNJDDAHK@IASpMaHd@[HLJBDCd@tCJZNTNNJDh@ErHmB`@?HBRRd@nA
2023-01-24;RE 3;29513.0;FMZ;11:59:00;;8000240.0;Mainz Hbf;8.25965;50.00225;2023-01-24;RE 3;29513.0;FIL;11:47:00;11:47:00;8003075.0;Ingelheim;8.05219;49.97664;0 days 00:26:00;c``pHavcp@e@oASSICa@?sHlBi@DKEOOOUK[e@uCFM@QAItFkEbHkGHLLBJKBUR@\ElCy@~AYcAcS_FnAY?YIUKY]Se@uFwUcAuCiBoEaAuBeBcDaB{Dw@qA~@eAVa@~@iBXgAPaAJ}@L{BPsGPaCv@kDV}@fA}Br@m@xDwEp@[hA]eIwnBAkABqBBa@PuBZsBjX}yAdAiGLkAHaB@yBGeB}AmQsEmf@a@aFHGDM@OCOEIKEOq@EYuN_}AaBoPmA_NoNi|Ae@qFuLipATaTEmAG]Yy@Ye@q@{@m@eAe@{AIk@c@sE_AwIe@iF{Eah@IwG?oC\wLJoGCoAIkBMcA_@aBo@qAW]WWq@a@wAe@eAe@_@_@o@_Ac@qAMs@Y}B_@qFsA{Wo@qJwDwh@i@uG]yEQmBCy@PcBB[AYIc@w@cBOq@eC}WaBmPqBgReBqOaDuW{Eu^e@{CEw@iAaI_@kDKkACcAMqA}@qFSyAUqCYiFMmDOoCGwH_@yOCm@Os@W_@y@y@iCuBYY_@g@a@u@M]Oo@c@mB]oBqB_HUSm@_@{CuAI\CXExCALQRYLy@p@g@v@YS
2023-01-24;RE 3;29514.0;FF;;10:08:00;8000105.0;Frankfurt(Main)Hbf;8.66477;50.10829;;;;;;;;;;;;
2023-01-24;RE 3;29514.0;FNI;10:14:00;10:15:00;8002050.0;Frankfurt-Niederrad;8.63827;50.08173;2023-01-24;RE 3;29514.0;FF;;10:08:00;8000105.0;Frankfurt(Main)Hbf;8.66477;50.10829;0 days 00:08:00;qxypHai{s@j@tBVHXCb@{@f@s@X]t@k@f@Yh@KtCVfDz@xBZp@BbAEbBH^E`A[hBw@\[pL{Nb@c@FVj@zArFlMpAjD`@tA@Rv@`CJTrBlGrAhEtCjIj@lBVpAlDb[H^Lb@Zp@\~@PDtCw@|I{@X?fIrBd@Nh@X`At@rBjBxAhAbJdFTRRn@F`@ZnAv@`CzH`TlDvI`AlC|H~ZKB}@p@WmA
2023-01-24;RE 3;29514.0;FFLU;10:22:00;10:23:00;8070004.0;Frankfurt (Main) Flughafen Regionalbf;8.57175;50.0539;2023-01-24;RE 3;29514.0;FNI;10:14:00;10:15:00;8002050.0;Frankfurt-Niederrad;8.63827;50.08173;0 days 00:13:00;uqtpHkcvs@VlA|@q@JCfBdHXz@\r@h@z@j@j@bClBbA|@Z`@^j@\x@Pj@XtADb@LZLLDCDK@_@e@yCg@qA]q@u@aAuEyDk@i@_@k@[s@_@qAsFkTgDiMk@iB}ByF{CkIqFsN{@sCH_@HOLKXGv@c@Za@xH{ExE{BlLcJVqARaB?e@QeBAg@BK^KjDlAlArA`ArAPLTBXGLGh@UREl@@tB`@|W`Gv[`HxRvBvCj@nBn@`A`@tBhAp@d@dCtBxB~B`B|Bl@`AzApC`AzBh@tAdAfD`AhDdA`E~Kdc@t@rDl@zDh@dEv@hIFdAR|FFjG?xCObKi@hX[xMYjJ_@fJg@|KsEdy@q@dMWzF{@~VKzK?`HHjGZjGr@vGjKbt@|AvLl@nF\zFrC`[d@zF
